source,target
20_天体源/grb/grb-221009a/图像索引.md,20_天体源/grb/grb-221009a/光变曲线.md
20_天体源/grb/grb-221009a/图像索引.md,20_天体源/grb/grb-221009a/观测总结.md
20_天体源/grb/grb-221009a/多波段数据.md,00_总览/index.md
20_天体源/grb/grb-221009a/时间线.md,20_天体源/grb/grb-221009a/余辉.md
20_天体源/grb/grb-221009a/时间线.md,20_天体源/grb/grb-221009a/光变曲线.md
20_天体源/grb/grb-221009a/时间线.md,20_天体源/grb/grb-221009a/瞬时辐射.md
20_天体源/grb/grb-221009a/时间线.md,20_天体源/grb/grb-221009a/观测总结.md
20_天体源/grb/grb-221009a/未解决问题.md,00_总览/index.md
20_天体源/grb/grb-221009a/模型解释.md,20_天体源/grb/grb-221009a/余辉.md
20_天体源/grb/grb-221009a/模型解释.md,20_天体源/grb/grb-221009a/观测总结.md
20_天体源/grb/grb-221009a/模型解释.md,40_综合比较/模型比较/grb-221009a-model-comparison.md
20_天体源/grb/grb-221009a/相关文献.md,20_天体源/grb/grb-221009a/仪器结果.md
20_天体源/grb/grb-221009a/相关文献.md,20_天体源/grb/grb-221009a/余辉.md
20_天体源/grb/grb-221009a/相关文献.md,20_天体源/grb/grb-221009a/瞬时辐射.md
20_天体源/grb/grb-221009a/相关文献.md,20_天体源/grb/grb-221009a/观测总结.md
20_天体源/grb/grb-221009a/瞬时辐射.md,20_天体源/grb/grb-221009a/仪器结果.md
20_天体源/grb/grb-221009a/瞬时辐射.md,20_天体源/grb/grb-221009a/时间线.md
20_天体源/grb/grb-221009a/瞬时辐射.md,20_天体源/grb/grb-221009a/能谱演化.md
20_天体源/grb/grb-221009a/瞬时辐射.md,30_仪器/fermi-gbm/index.md
20_天体源/grb/grb-221009a/瞬时辐射.md,30_仪器/konus-wind/index.md
20_天体源/grb/grb-221009a/瞬时辐射.md,30_仪器/srg-art-xc/index.md
20_天体源/grb/grb-221009a/能谱演化.md,20_天体源/grb/grb-221009a/仪器结果.md
20_天体源/grb/grb-221009a/能谱演化.md,20_天体源/grb/grb-221009a/时间线.md
20_天体源/grb/grb-221009a/能谱演化.md,20_天体源/grb/grb-221009a/瞬时辐射.md
20_天体源/grb/grb-221009a/能谱演化.md,30_仪器/fermi-gbm/index.md
20_天体源/grb/grb-221009a/能谱演化.md,30_仪器/konus-wind/index.md
20_天体源/grb/grb-221009a/观测总结.md,20_天体源/grb/grb-221009a/仪器结果.md
20_天体源/grb/grb-221009a/观测总结.md,20_天体源/grb/grb-221009a/余辉.md
20_天体源/grb/grb-221009a/观测总结.md,20_天体源/grb/grb-221009a/时间线.md
20_天体源/grb/grb-221009a/观测总结.md,20_天体源/grb/grb-221009a/模型解释.md
20_天体源/grb/grb-221009a/观测总结.md,20_天体源/grb/grb-221009a/瞬时辐射.md
20_天体源/grb/grb-221009a/观测总结.md,30_仪器/fermi-gbm/index.md
20_天体源/grb/grb-221009a/观测总结.md,30_仪器/konus-wind/index.md
20_天体源/grb/grb-221009a/观测总结.md,30_仪器/lhaaso/代表性结果.md
20_天体源/grb/grb-221009a/观测总结.md,30_仪器/srg-art-xc/index.md
20_天体源/grb/index.md,00_总览/index.md
30_仪器/fermi-gbm/index.md,20_天体源/grb/grb-221009a/仪器结果.md
30_仪器/fermi-gbm/index.md,20_天体源/grb/grb-221009a/瞬时辐射.md
30_仪器/fermi-gbm/index.md,20_天体源/grb/grb-221009a/能谱演化.md
30_仪器/fermi-lat/index.md,00_总览/index.md
30_仪器/konus-wind/index.md,20_天体源/grb/grb-221009a/仪器结果.md
30_仪器/konus-wind/index.md,20_天体源/grb/grb-221009a/瞬时辐射.md
30_仪器/konus-wind/index.md,20_天体源/grb/grb-221009a/能谱演化.md
30_仪器/lhaaso/index.md,30_仪器/lhaaso/代表性结果.md
30_仪器/lhaaso/index.md,30_仪器/lhaaso/仪器状态.md
30_仪器/lhaaso/index.md,30_仪器/lhaaso/分析流程.md
30_仪器/lhaaso/index.md,30_仪器/lhaaso/性能.md
30_仪器/lhaaso/index.md,30_仪器/lhaaso/数据产品.md
30_仪器/lhaaso/index.md,30_仪器/lhaaso/相关文献.md
30_仪器/lhaaso/代表性结果.md,20_天体源/grb/grb-221009a/仪器结果.md
30_仪器/lhaaso/代表性结果.md,20_天体源/grb/grb-221009a/观测总结.md
30_仪器/lhaaso/代表性结果.md,30_仪器/lhaaso/相关文献.md
30_仪器/lhaaso/仪器状态.md,00_总览/index.md
30_仪器/lhaaso/分析流程.md,00_总览/index.md
30_仪器/lhaaso/性能.md,00_总览/index.md
30_仪器/lhaaso/数据产品.md,00_总览/index.md
30_仪器/lhaaso/相关文献.md,20_天体源/grb/grb-221009a/观测总结.md
30_仪器/lhaaso/相关文献.md,30_仪器/lhaaso/代表性结果.md
30_仪器/srg-art-xc/index.md,20_天体源/grb/grb-221009a/仪器结果.md
30_仪器/srg-art-xc/index.md,20_天体源/grb/grb-221009a/瞬时辐射.md
30_仪器/swift/index.md,00_总览/index.md
40_综合比较/模型比较/grb-221009a-model-comparison.md,20_天体源/grb/grb-221009a/余辉.md
40_综合比较/模型比较/grb-221009a-model-comparison.md,20_天体源/grb/grb-221009a/模型解释.md
40_综合比较/源类比较/vhe-grb-detections.md,20_天体源/grb/grb-221009a/观测总结.md
40_综合比较/源类比较/vhe-grb-detections.md,30_仪器/lhaaso/代表性结果.md
50_模型/grb模型/afterglow-dynamics.md,00_总览/index.md
50_模型/辐射模型/ebl-absorption.md,00_总览/index.md
50_模型/辐射模型/electromagnetic-cascade.md,00_总览/index.md
50_模型/辐射模型/pion-decay.md,00_总览/index.md
50_模型/辐射模型/ssc.md,00_总览/index.md
50_模型/辐射模型/synchrotron.md,00_总览/index.md
90_元信息/contradictions.md,00_总览/index.md
90_元信息/literature-index.md,20_天体源/grb/grb-221009a/相关文献.md
90_元信息/literature-index.md,20_天体源/grb/grb-221009a/观测总结.md
90_元信息/literature-index.md,30_仪器/lhaaso/相关文献.md
90_元信息/open-questions.md,20_天体源/grb/grb-221009a/模型解释.md
90_元信息/open-questions.md,20_天体源/grb/grb-221009a/能谱演化.md
90_元信息/open-questions.md,40_综合比较/模型比较/grb-221009a-model-comparison.md
90_元信息/source-quality.md,20_天体源/grb/grb-221009a/观测总结.md
90_元信息/source-quality.md,90_元信息/literature-index.md
90_元信息/stale-claims.md,00_总览/index.md
90_元信息/to-ingest.md,00_总览/index.md
90_元信息/update-log.md,20_天体源/grb/grb-221009a/图像索引.md
90_元信息/update-log.md,90_元信息/literature-index.md
90_元信息/update-log.md,90_元信息/open-questions.md
90_元信息/update-log.md,90_元信息/source-quality.md
